Annual Report Year,CompanyID*,ISIN,DirectorID*,Ticker,Company Name,Director Type,Director Name,Sector,Index,Country,inputfilestem,region,mgmt_type,workbook_name,fragment_number,sheet_name
Current,9811997164,JE00BF5FX167,15379548720,3IN,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),SD,James (Doug) Douglas Bannister,Investment Companies,FTSE 250,Jersey,Europe - Committee Details_Current,Europe,Director,Committee Details,,Current
Current,9811997164,JE00BF5FX167,13584596849,3IN,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),SD,Paul A Masterton,Investment Companies,FTSE 250,Jersey,Europe - Committee Details_Current,Europe,Director,Committee Details,,Current
Current,9811997164,JE00BF5FX167,3434710052,3IN,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),SD,Richard George Laing,Investment Companies,FTSE 250,Jersey,Europe - Committee Details_Current,Europe,Director,Committee Details,,Current
Current,9811997164,JE00BF5FX167,15379588720,3IN,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),SD,Wendy Jane Dorman,Investment Companies,FTSE 250,Jersey,Europe - Committee Details_Current,Europe,Director,Committee Details,,Current
Current,9811997164,JE00BF5FX167,15379548720,3IN,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),SD,James (Doug) Douglas Bannister,Investment Companies,FTSE 250,Jersey,Europe - Committee Details_Current,Europe,Director,Committee Details,,Current
Current,279913389,US88579Y1010,93212711854,MMM,3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),SD,Doctor Dambisa Felicia Moyo,Diversified Industrials,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",United States,NA - Committee Details_Current,NA,Director,Committee Details,,Current
Current,279913389,US88579Y1010,454149775,MMM,3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),SD,David (Dave) B Dillon,Diversified Industrials,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",United States,NA - Committee Details_Current,NA,Director,Committee Details,,Current
Current,279913389,US88579Y1010,93212711854,MMM,3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),SD,Doctor Dambisa Felicia Moyo,Diversified Industrials,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",United States,NA - Committee Details_Current,NA,Director,Committee Details,,Current
Current,279913389,US88579Y1010,5976712017,MMM,3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),SD,Herbert (Herb) Ludwig Henkel,Diversified Industrials,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",United States,NA - Committee Details_Current,NA,Director,Committee Details,,Current
Current,279913389,US88579Y1010,424897243,MMM,3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),SD,Michael (Mike) L Eskew,Diversified Industrials,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",United States,NA - Committee Details_Current,NA,Director,Committee Details,,Current
Current,176431510678,US90138A1034,3753428545,VNET,21VIANET GROUP INC,SD,Chung-Hou (Kenneth) Tai,Software & Computer Services,,China,ROW - Committee Details_Current,ROW,Director,Committee Details,,Current
Current,176431510678,US90138A1034,7835067990,VNET,21VIANET GROUP INC,SD,Xiaoheng (Sean) Shao,Software & Computer Services,,China,ROW - Committee Details_Current,ROW,Director,Committee Details,,Current
Current,304953712675,US88557W1018,6388030,QFIN,360 DIGITECH INC (360 Finance Inc prior to 09/2020),SD,Andrew (Andy) Yan Yan,Speciality & Other Finance,,China,ROW - Committee Details_Current,ROW,Director,Committee Details,,Current
Current,304953712675,US88557W1018,6388030,QFIN,360 DIGITECH INC (360 Finance Inc prior to 09/2020),SD,Andrew (Andy) Yan Yan,Speciality & Other Finance,,China,ROW - Committee Details_Current,ROW,Director,Committee Details,,Current
Current,304953712675,US88557W1018,6388030,QFIN,360 DIGITECH INC (360 Finance Inc prior to 09/2020),SD,Andrew (Andy) Yan Yan,Speciality & Other Finance,,China,ROW - Committee Details_Current,ROW,Director,Committee Details,,Current
Current,11523753,GB00B1YW4409,155162458,III,3I GROUP PLC,SD,Caroline Janet Banszky,Private Equity,FTSE 100,United Kingdom - England,UK - Committee Details_Current,UK,Director,Committee Details,,Current
Current,11523753,GB00B1YW4409,155162458,III,3I GROUP PLC,SD,Caroline Janet Banszky,Private Equity,FTSE 100,United Kingdom - England,UK - Committee Details_Current,UK,Director,Committee Details,,Current
Current,11523753,GB00B1YW4409,3595916932,III,3I GROUP PLC,SD,Simon Robert Thompson,Private Equity,FTSE 100,United Kingdom - England,UK - Committee Details_Current,UK,Director,Committee Details,,Current
Current,11523753,GB00B1YW4409,11417983650,III,3I GROUP PLC,SD,Stephen Wayne Daintith,Private Equity,FTSE 100,United Kingdom - England,UK - Committee Details_Current,UK,Director,Committee Details,,Current
Current,9811997164,JE00BF5FX167,15379548720,3IN,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),SD,James (Doug) Douglas Bannister,Investment Companies,FTSE 250,Jersey,UK - Committee Details_Current,UK,Director,Committee Details,,Current
Current,18581526,CH0044328745,416796384,CB,CHUBB LTD (ACE Ltd prior to 01/2016),DE,Evan G Greenberg,Insurance,S&P 500,Switzerland,Europe - SMDEs Committee Details_Current,Europe,SMDE,SMDEs Committee Details,,Current
Current,1495612661,IE00B8KQN827,6952511102,ETN,EATON CORP PLC (Eaton Corp prior to 11/2012),DE,Craig Arnold,Electronic & Electrical Equipment,S&P 500,Republic Of Ireland,Europe - SMDEs Committee Details_Current,Europe,SMDE,SMDEs Committee Details,,Current
Current,404454854,IE00BY7QL619,8795947277,JCI,JOHNSON CONTROLS INTERNATIONAL PLC (Tyco International PLC prior to 09/2016),DE,George R Oliver,Electronic & Electrical Equipment,S&P 500,Republic Of Ireland,Europe - SMDEs Committee Details_Current,Europe,SMDE,SMDEs Committee Details,,Current
Current,3775412368,IE00BFY8C754,5869768921,STE,STERIS PLC (STERIS Corp prior to 11/2015),DE,Walter M Rosebrough Jr,Electronic & Electrical Equipment,S&P 500,Republic Of Ireland,Europe - SMDEs Committee Details_Current,Europe,SMDE,SMDEs Committee Details,,Current
Current,26831969862,GB00BDSFG982,2265212396,FTI,TECHNIPFMC PLC,DE,Douglas (Doug) J Pferdehirt,Oil & Gas,"CAC ALL-TRADABLE, SBF 120",United Kingdom - England,Europe - SMDEs Committee Details_Current,Europe,SMDE,SMDEs Committee Details,,Current
Current,20882201,US00508Y1029,2270742548,AYI,ACUITY BRANDS INC,DE,Neil M Ashe,Household Products,S&P MID CAP 400,United States,NA - SMDEs Committee Details_Current,NA,SMDE,SMDEs Committee Details,,Current
Current,26131573,US0010551028,4612310315,AFL,AFLAC INC,DE,Daniel (Dan) Paul Amos,Insurance,S&P 500,United States,NA - SMDEs Committee Details_Current,NA,SMDE,SMDEs Committee Details,,Current
Current,26131573,US0010551028,4612310315,AFL,AFLAC INC,DE,Daniel (Dan) Paul Amos,Insurance,S&P 500,United States,NA - SMDEs Committee Details_Current,NA,SMDE,SMDEs Committee Details,,Current
Current,26892984,US00846U1016,63750712844,"A, AG8",AGILENT TECHNOLOGIES INC,DE,Michael (Mike) R McMullen,Electronic & Electrical Equipment,S&P 500,United States,NA - SMDEs Committee Details_Current,NA,SMDE,SMDEs Committee Details,,Current
Current,28875137,US0091581068,322078347,"AP3, APD",AIR PRODUCTS & CHEMICALS INC,DE,Seifollah (Seifi) Ghasemi,Chemicals,S&P 500,United States,NA - SMDEs Committee Details_Current,NA,SMDE,SMDEs Committee Details,,Current
Current,223139828,INE009A01021,11373763565,INFY,INFOSYS LTD (Infosys Technologies Ltd prior to 06/2011),DE,Pravin Udhyavara Rao,Software & Computer Services,BSE 200,India,ROW - SMDEs Committee Details_Current,ROW,SMDE,SMDEs Committee Details,,Current
Current,223139828,INE009A01021,11373763565,INFY,INFOSYS LTD (Infosys Technologies Ltd prior to 06/2011),DE,Pravin Udhyavara Rao,Software & Computer Services,BSE 200,India,ROW - SMDEs Committee Details_Current,ROW,SMDE,SMDEs Committee Details,,Current
Current,312247455,GB0031215220,446629182,CCL,CARNIVAL PLC (P&O Princess Cruises prior to 04/2003),DE,Arnold Wayne Donald,Leisure & Hotels,FTSE 250,United Kingdom - England,UK - SMDEs Committee Details_Current,UK,SMDE,SMDEs Committee Details,,Current
Current,6469563434,"GB00B8W67662, GB00B8W67779, GB00B8W67B19",336439518,"LBTYA, LBTYB, LBTYK",LIBERTY GLOBAL PLC (Liberty Global Inc prior to 06/2013),DE,Michael (Mike) Thomas Fries,Media & Entertainment,,United Kingdom - England,UK - SMDEs Committee Details_Current,UK,SMDE,SMDEs Committee Details,,Current
Current,26831969862,GB00BDSFG982,2265212396,FTI,TECHNIPFMC PLC,DE,Douglas (Doug) J Pferdehirt,Oil & Gas,"CAC ALL-TRADABLE, SBF 120",United Kingdom - England,UK - SMDEs Committee Details_Current,UK,SMDE,SMDEs Committee Details,,Current
