Latest AR,CompanyID*,HOAddress3,CIK Code,Market Cap,HO TelNumber,HOCountryName,HO URL,Auditors,Index,HOAddress2,ISIN,Ticker,HOAddress5,HOAddress4,HOAddress1,Company Name,HO FaxNumber,Sector,Bankers,inputfilestem,region,mgmt_type,workbook_name,fragment_number,sheet_name
Mar 2020,9811997164,Channel Islands,,3040,+44 (0)1534 711444,Jersey,http://www.3i-infrastructure.com/,Deloitte LLP (Deloitte & Touche LLP prior to 12/2008),FTSE 250,Saint Helier,JE00BF5FX167,3IN,JE2 3RT,,12 Castle Street,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),+44 (0)1534 609333,Investment Companies,Citibank Europe PLC,Europe - Company Details,Europe,Director,Company Details,,
Dec 2020,3552310896,,,2321,+45 86 11 22 22,Denmark,https://www.schouw.dk/en/home/,Ernst & Young Godkendt Revisionspartnerselskab (Ernst & Young P/S) (Formerly known as Ernst & Young Denmark P/S),,Aarhus C,DK0010253921,SCHO,DK-8000,Midtjylland,Christian Filtenborgs Plads 1,A/S SCHOUW & CO,+45 86 11 33 22,Diversified Industrials,,Europe - Company Details,Europe,Director,Company Details,,
Dec 2019,24982801,,,4883,+39 030 35531,Italy,https://www.a2a.eu/en,EY SpA (Formerly known as Reconta Ernst & Young SpA),,,IT0001233417,A2A,25124,Brescia,Via Lamarmora 230,A2A SPA,+39 030 355 3204,Electricity,,Europe - Company Details,Europe,Director,Company Details,,
Dec 2019,947432828,,,1476,+49 611 348 0,Germany,https://www.aareal-bank.com/en/,KPMG AG Wirtschaftsprüfungsgesellschaft (Formerly known as KPMG Deutsche Treuhandgesellschaft AG),,Wiesbaden,DE0005408116,ARL,D-65189,Hessen,Paulinenstrasse 15,AAREAL BANK AG,+49 611 348 25 49,Banks,,Europe - Company Details,Europe,Director,Company Details,,
Dec 2020,14501792,,1091587.0,57423,+41 (0)43 317 7111,Switzerland,https://global.abb/group/en,KPMG AG,"OMX Stockholm 30, SMI , Stoxx Europe 50",,CH0012221716,"ABB, ABBN",CH-8050,Zurich,Affolternstrasse 44,ABB LTD,+41 (0)43 317 4420,Engineering & Machinery,Citibank NA (Formerly known as First National City Bank of New York),Europe - Company Details,Europe,Director,Company Details,,
Dec 2019,279913389,,66740.0,113467,+1 651 733 1110,United States,https://www.3m.com/,PricewaterhouseCoopers LLP (US),"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",Saint Paul,US88579Y1010,MMM,55144-1000,"Minnesota, MN",3M Center,3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),,Diversified Industrials,,NA - Company Details,NA,Director,Company Details,,
Feb 2011,4557415967,Atlanta,863650.0,0,+1 404 604 2757,United States,http://www.adam.com,,,Suite 525,US00088U1088,ADAM,30309-3848,"Georgia, GA",10 10th Street NE,A.D.A.M. INC (De-listed 02/2011),,Software & Computer Services,,NA - Company Details,NA,Director,Company Details,,
Oct 2019,22278684838,,1606180.0,0,,United States,http://americanaddictioncenters.org/,,,Brentwood,US0003071083,AACH,37027,"Tennessee, TN",200 Powell Place,AAC HOLDINGS INC (De-listed 10/2019),,Consumer Services,,NA - Company Details,NA,Director,Company Details,,
Dec 2019,13813691,,824142.0,3602,+1 918 583 2266,United States,https://www.aaon.com/,Grant Thornton LLP,S&P SMALL CAP 600,Tulsa,US0003602069,AAON,74107,"Oklahoma, OK",2425 South Yukon Avenue,AAON INC,+1 918 583 6094,Engineering & Machinery,,NA - Company Details,NA,Director,Company Details,,
Feb 2020,15032606,,1018840.0,2328,+1 614 283 6500,United States,http://www.abercrombie.com/shop/wd,PricewaterhouseCoopers LLP (US),S&P SMALL CAP 600,New Albany,US0028962076,ANF,43054,"Ohio, OH",6301 Fitch Path,ABERCROMBIE & FITCH CO,,General Retailers,,NA - Company Details,NA,Director,Company Details,,
Dec 2019,176431510678,Chaoyang District,1508475.0,20165,+86 108 456 2121,China,https://www.21vianet.com/,Ernst & Young Hua Ming LLP (Ernst & Young Hua Ming prior to 08/2012),,10# Jiuxianqiao East Road,US90138A1034,VNET,100016,Beijing,Guanjie Building Southeast 1st Floor,21VIANET GROUP INC,+86 108 456 2619,Software & Computer Services,Citibank NA (Formerly known as First National City Bank of New York),ROW - Company Details,ROW,Director,Company Details,,
Dec 2019,304953712675,"No. 1701 Century Avenue, Pudong New Area",1741530.0,6796,,China,https://www.360jie.com.cn/,Deloitte Touche Tohmatsu Certified Public Accountants LLP (Deloitte Touche Tohmatsu CPA Ltd prior to 01/2013),,"Building B, No 555 Pudian Road",US88557W1018,QFIN,200122,Shanghai,China Diamond Exchange Center,360 DIGITECH INC (360 Finance Inc prior to 09/2020),,Speciality & Other Finance,,ROW - Company Details,ROW,Director,Company Details,,
Jun 2020,6797067907,Sydney,,1762,+61 (02) 9253 8600,Australia,https://www.abacusproperty.com.au/,Ernst & Young Services Pty Ltd,"ASX ALL ORDINARIES, S&P/ASX200, S&P/ASX300",264-278 George Street,AU000000ABP9,ABP,2000,New South Wales,"Level 34, Australia Square",ABACUS PROPERTY GROUP,+61 (02) 9253 8616,Real Estate,Perpetual Trustee Co Ltd,ROW - Company Details,ROW,Director,Company Details,,
Dec 2019,197651612274,,,3619,+63 32 411 1800,Philippines,https://aboitizpower.com/,SyCip Gorres Velayo & Co (SGV & Co),,"Taguig City, Metro Manila",PHY0005M1090,AP,1634,Manila,"NAC Tower, 32nd Street, Bonifacio Global City",ABOITIZ POWER CORP,+63 32 231 4037,Electricity,,ROW - Company Details,ROW,Director,Company Details,,
Dec 2019,16882201,,1040826.0,7132,,South Africa,https://www.absa.africa/absaafrica/,Ernst & Young Inc (South Africa) (Formerly known as Ernst & Young Registered Auditors Inc),,"15 Troye Street, Johannesburg",ZAE000255915,ABG,2001,Gauteng,"7th Floor, Absa Towers West",ABSA GROUP LTD (Barclays Africa Group Ltd prior to 07/2018),,Banks,BNY Mellon NA (Formerly Known as Mellon Bank NA),ROW - Company Details,ROW,Director,Company Details,,
Mar 2020,11523753,,,12194,+44 (0) 20 7928 3131,United Kingdom - England,https://www.3i.com/,KPMG LLP,FTSE 100,,GB00B1YW4409,III,SW1E 5JD,London,16 Palace Street,3I GROUP PLC,+44 (0) 20 7928 0058,Private Equity,,UK - Company Details,UK,Director,Company Details,,
Mar 2020,9811997164,Channel Islands,,2639,+44 (0)1534 711444,Jersey,http://www.3i-infrastructure.com/,Deloitte LLP (Deloitte & Touche LLP prior to 12/2008),FTSE 250,Saint Helier,JE00BF5FX167,3IN,JE2 3RT,,12 Castle Street,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),+44 (0)1534 609333,Investment Companies,Citibank Europe PLC,UK - Company Details,UK,Director,Company Details,,
Mar 2021,21512613434,Basingstoke,,0,,United Kingdom - England,http://www.theaa.com/,,,Basing View,GB00BMSKPJ95,AA.,RG21 4EA,Hampshire,Fanum House,AA PLC (De-listed 03/2021),,Business Services,,UK - Company Details,UK,Director,Company Details,,
Jun 2020,7879158427,,1492074.0,3258,+44 (0)1223 696000,United Kingdom - England,https://www.abcamplc.com/,PricewaterhouseCoopers LLP (PwC),FTSE AIM,Cambridge Biomedical Campus,GB00B6774699,ABC,CB2 0AX,Cambridgeshire,Discovery Drive,ABCAM PLC,+44 (0)1223 215215,Pharmaceuticals and Biotechnology,,UK - Company Details,UK,Director,Company Details,,
Oct 2008,33428377,Leicester,,0,+44 (0) 116 201 1000,United Kingdom - England,http://www.alliance-leicester-group.co.uk/,,,Narborough,GB0000386143,AL.,LE19 0AL,Leicestershire,Carlton Park,ALLIANCE & LEICESTER PLC (De-listed 10/2008),+44 (0) 116 200 4040,Banks,,UK - Company Details,UK,Director,Company Details,,
