DirectorID*,Director Name,Bex Dir ID,inputfilestem,region,mgmt_type,workbook_name,fragment_number,sheet_name
413536,John Loudon,52,Europe - Director Details Mapping File,Europe,Director,Director Details Mapping File,,
426849,Dermot Egan,55,Europe - Director Details Mapping File,Europe,Director,Director Details Mapping File,,
431931,Gerald (Gerry) Brendan Scanlan,56,Europe - Director Details Mapping File,Europe,Director,Director Details Mapping File,,
473931,Doctor Max D Amstutz,66,Europe - Director Details Mapping File,Europe,Director,Director Details Mapping File,,
5161006,Hans-Ueli Rihs,77,Europe - Director Details Mapping File,Europe,Director,Director Details Mapping File,,
9942167,Sir Graham James Hearne,232,NA - Director Details Mapping File,NA,Director,Director Details Mapping File,,
10703009,Doctor Thomas Friedrich Widmann,261,NA - Director Details Mapping File,NA,Director,Director Details Mapping File,,
15092691,Sir Frank W Lampl,449,NA - Director Details Mapping File,NA,Director,Director Details Mapping File,,
15162774,Seán Patrick Lance,452,NA - Director Details Mapping File,NA,Director,Director Details Mapping File,,
15272907,Sten Olof Langenius,457,NA - Director Details Mapping File,NA,Director,Director Details Mapping File,,
2871006,Michael Leslie Hepher,27,ROW - Director Details Mapping File,ROW,Director,Director Details Mapping File,,
381849,Eli Reifman,45,ROW - Director Details Mapping File,ROW,Director,Director Details Mapping File,,
508849,Ari Zalkinder,75,ROW - Director Details Mapping File,ROW,Director,Director Details Mapping File,,
7382488,Leng Beng Kwek,142,ROW - Director Details Mapping File,ROW,Director,Director Details Mapping File,,
9842025,The Rt. Hon. Lord Christopher Samuel Tugendhat of Widdington,228,ROW - Director Details Mapping File,ROW,Director,Director Details Mapping File,,
51378,David Andrew Fischel,1,UK - Director Details Mapping File,UK,Director,Director Details Mapping File,,
2301076,John Edwin Adshead,18,UK - Director Details Mapping File,UK,Director,Director Details Mapping File,,
2871006,Michael Leslie Hepher,27,UK - Director Details Mapping File,UK,Director,Director Details Mapping File,,
3040,Harold (Harry) William Bailey,30,UK - Director Details Mapping File,UK,Director,Director Details Mapping File,,
3951076,Caspar MacDonald-Hall,48,UK - Director Details Mapping File,UK,Director,Director Details Mapping File,,
614759,Arturo Baldasano Supervielle,104,Europe - SMDEs Mapping File,Europe,SMDE,SMDEs Mapping File,,
8463411,Frédéric Saint-Geours,178,Europe - SMDEs Mapping File,Europe,SMDE,SMDEs Mapping File,,
8743629,Urs Wolfgang Bieri,188,Europe - SMDEs Mapping File,Europe,SMDE,SMDEs Mapping File,,
9521526,Pierre Blayau,216,Europe - SMDEs Mapping File,Europe,SMDE,SMDEs Mapping File,,
10522828,Doctor Thomas Weller,254,Europe - SMDEs Mapping File,Europe,SMDE,SMDEs Mapping File,,
11223500,Doctor Tadataka (Tachi) Yamada,282,NA - SMDEs Mapping File,NA,SMDE,SMDEs Mapping File,,
18083691,Jeffrey (Jeff) Brooks,591,NA - SMDEs Mapping File,NA,SMDE,SMDEs Mapping File,,
20802062,Hans A Haefeli,729,NA - SMDEs Mapping File,NA,SMDE,SMDEs Mapping File,,
23423180,Howard Hao Pien,868,NA - SMDEs Mapping File,NA,SMDE,SMDEs Mapping File,,
24181141,J (Jay) Harold Allen,909,NA - SMDEs Mapping File,NA,SMDE,SMDEs Mapping File,,
16361076,Jörgen Andersson,508,ROW - SMDEs Mapping File,ROW,SMDE,SMDEs Mapping File,,
49218417,Mark E Cherry,2446,ROW - SMDEs Mapping File,ROW,SMDE,SMDEs Mapping File,,
65189311,David Alexander Crawford,3540,ROW - SMDEs Mapping File,ROW,SMDE,SMDEs Mapping File,,
683911220,Robert Simon Childs,3767,ROW - SMDEs Mapping File,ROW,SMDE,SMDEs Mapping File,,
697511958,Kåre Schultz,3864,ROW - SMDEs Mapping File,ROW,SMDE,SMDEs Mapping File,,
4391076,Harry Edward Fitzgibbons,58,UK - SMDEs Mapping File,UK,SMDE,SMDEs Mapping File,,
10412719,Jeremy Christopher Watts,250,UK - SMDEs Mapping File,UK,SMDE,SMDEs Mapping File,,
18942235,David John Coker,634,UK - SMDEs Mapping File,UK,SMDE,SMDEs Mapping File,,
21763434,Pascal Lamy,779,UK - SMDEs Mapping File,UK,SMDE,SMDEs Mapping File,,
24231319,Doctor Neil James Roden,912,UK - SMDEs Mapping File,UK,SMDE,SMDEs Mapping File,,
