CompanyID*,DirectorID*,Director Name,Country,inputfilestem,region,mgmt_type,workbook_name,fragment_number,sheet_name
78638977,23749876825,Aleksandra (Aleks) Gren,United States,Europe - Director Profile - Other Activities,Europe,Director,Director Profile - Other Activities,,
426507400,24675767844,Professor Peter Englund,United States,Europe - Director Profile - Other Activities,Europe,Director,Director Profile - Other Activities,,
3784112418,176113610645,Salvatore Manzi,Switzerland,Europe - Director Profile - Other Activities,Europe,Director,Director Profile - Other Activities,,
835311951,3459810230,Steven (Steve) Paul Akin,United States,Europe - Director Profile - Other Activities,Europe,Director,Director Profile - Other Activities,,
2603812303,51673711620,William (Bill) Duncan Eason,United Kingdom - England,Europe - Director Profile - Other Activities,Europe,Director,Director Profile - Other Activities,,
415306218,182153211126,Amrith Kumar,United States,NA - Director Profile - Other Activities,NA,Director,Director Profile - Other Activities,,
2293610273,2074213657,Doctor Katherine (Kay) N Lemon,United States,NA - Director Profile - Other Activities,NA,Director,Director Profile - Other Activities,,
2450511336,15447028778,Doctor Malcolm Sharples,Singapore,NA - Director Profile - Other Activities,NA,Director,Director Profile - Other Activities,,
2261610044,189263811666,Marc Dacosta,United States,NA - Director Profile - Other Activities,NA,Director,Director Profile - Other Activities,,
58373132,21898954200,Angus John Middleton,Australia,ROW - Director Profile - Other Activities,ROW,Director,Director Profile - Other Activities,,
325508633,20860151426,Doctor Yoon Heo,South Korea,ROW - Director Profile - Other Activities,ROW,Director,Director Profile - Other Activities,,
1317254723,10925932458,Fernando Maida Dall'Acqua,Brazil,ROW - Director Profile - Other Activities,ROW,Director,Director Profile - Other Activities,,
62757630,22219414740,Robert McCaig,United Kingdom - England,UK - Director Profile - Other Activities,UK,Director,Director Profile - Other Activities,,
2603812303,51673711620,William (Bill) Duncan Eason,United Kingdom - England,UK - Director Profile - Other Activities,UK,Director,Director Profile - Other Activities,,
178956910872,13317766534,William (Bill) John Emmott,Switzerland,UK - Director Profile - Other Activities,UK,Director,Director Profile - Other Activities,,
429577695,14243587576,Charles Rowse Trevail,United Kingdom - England,NA - SMDEs Profile - Other Activities,NA,SMDE,SMDEs Profile - Other Activities,,
401844468,15309368652,George H Taylor Jr,United States,NA - SMDEs Profile - Other Activities,NA,SMDE,SMDEs Profile - Other Activities,,
3759712267,172102610323,Jeffrey (Jeff) J White,United States,NA - SMDEs Profile - Other Activities,NA,SMDE,SMDEs Profile - Other Activities,,
835311951,748766047,Patricia (Pat) Ruth Hatler,United States,NA - SMDEs Profile - Other Activities,NA,SMDE,SMDEs Profile - Other Activities,,
157612984,13365086583,Todd E Romaine,Canada,NA - SMDEs Profile - Other Activities,NA,SMDE,SMDEs Profile - Other Activities,,
2603812303,24513307673,Paul Tyndall,United Kingdom - England,UK - SMDEs Profile - Other Activities,UK,SMDE,SMDEs Profile - Other Activities,,
